epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.62109,1.45053,3.75651,1.13793,0.00869,0.82955,0.02329,0.01349,1.39459,3.30527,1.04966,0.00018,0.00018,0.00018
2,5.3663,1.46937,2.55089,1.03488,0.0094,0.89773,0.31571,0.16795,1.37362,2.93263,1.02301,0.000376238,0.000376238,0.000376238
3,6.96665,1.33732,1.62388,1.03461,0.00905,0.86364,0.21346,0.12927,1.39063,3.02371,1.0421,0.000568516,0.000568516,0.000568516
4,8.46142,1.34603,1.47379,1.02072,0.00857,0.81818,0.44207,0.27109,1.39932,2.92886,1.06431,0.000756834,0.000756834,0.000756834
5,9.97352,1.41261,1.41633,1.07949,0.00786,0.75,0.08949,0.04814,1.48743,3.03334,1.14445,0.000941192,0.000941192,0.000941192
6,11.4811,1.35255,1.31333,1.08746,0.00738,0.70455,0.01834,0.01057,1.38694,3.35782,1.09516,0.00112159,0.00112159,0.00112159
7,12.9125,1.36468,1.32698,1.04606,0.00833,0.79545,0.02391,0.01319,1.39714,4.11404,1.09708,0.00129803,0.00129803,0.00129803
8,14.5713,1.34295,1.27507,1.05358,1,0.39949,0.51962,0.2886,1.51086,2.33541,1.12054,0.00147051,0.00147051,0.00147051
9,16.2149,1.3907,1.38821,1.09591,0.56895,0.36003,0.40903,0.23761,1.45261,2.25602,1.08723,0.00163902,0.00163902,0.00163902
10,17.9253,1.33228,1.21236,1.04185,0.89746,0.64773,0.80851,0.46627,1.51812,1.72718,1.09278,0.00180358,0.00180358,0.00180358
11,19.6789,1.39125,1.217,1.04959,0.91638,0.74726,0.85034,0.51344,1.45134,1.64773,1.05251,0.001802,0.001802,0.001802
12,20.0078,1.36072,1.18125,1.07179,0.96337,0.85227,0.89087,0.54942,1.43404,1.23475,1.07201,0.0017822,0.0017822,0.0017822
13,21.5032,1.21603,1.14173,1.00115,0.95182,0.85227,0.92101,0.51673,1.45166,1.12756,1.10113,0.0017624,0.0017624,0.0017624
14,23.0074,1.26108,1.07459,1.05396,0.92897,0.82955,0.93299,0.55943,1.37478,1.16178,1.07405,0.0017426,0.0017426,0.0017426
15,24.5128,1.34157,1.25723,1.04048,0.83135,0.84025,0.91776,0.55078,1.36718,1.05783,1.08553,0.0017228,0.0017228,0.0017228
16,25.978,1.31539,1.16245,1.04153,0.9142,0.93182,0.95729,0.57442,1.35351,0.89345,1.0605,0.001703,0.001703,0.001703
17,27.53,1.27769,1.03907,1.0242,0.9721,0.82955,0.95479,0.59188,1.31625,0.86108,1.04311,0.0016832,0.0016832,0.0016832
18,28.983,1.24224,1.02241,0.99331,0.96305,0.85227,0.96105,0.59153,1.30585,0.85666,1.03901,0.0016634,0.0016634,0.0016634
