epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.8801,1.40614,3.46407,1.12504,0.00876,0.85185,0.05638,0.03779,1.44912,3.30979,1.05057,0.0002,0.0002,0.0002
2,7.90988,1.43189,2.18424,1.04821,0.00924,0.89815,0.36964,0.24036,1.44876,2.95986,1.03354,0.000415842,0.000415842,0.000415842
3,9.74838,1.34069,1.42856,1.04557,0.00914,0.88889,0.12392,0.07679,1.37754,3.01201,0.99883,0.000627328,0.000627328,0.000627328
4,11.505,1.44634,1.38509,1.09214,0.00857,0.83333,0.3721,0.23898,1.41039,3.05061,1.05724,0.000834458,0.000834458,0.000834458
5,13.2802,1.32998,1.29971,1.04276,0.74006,0.46296,0.47331,0.31028,1.39129,2.90039,1.06491,0.00103723,0.00103723,0.00103723
6,15.0867,1.35428,1.27885,1.06608,1,0.15254,0.61799,0.41327,1.36541,2.57246,1.0404,0.00123565,0.00123565,0.00123565
7,16.8245,1.32439,1.21297,1.07244,0.97844,0.42018,0.65986,0.38358,1.45188,2.47629,1.09965,0.00142971,0.00142971,0.00142971
8,18.5648,1.30267,1.19811,1.04894,0.97468,0.35644,0.60496,0.37952,1.43278,2.48858,1.10167,0.00161942,0.00161942,0.00161942
9,20.368,1.47258,1.32479,1.10729,0.98356,0.55408,0.74236,0.42881,1.52401,1.98622,1.12962,0.00180477,0.00180477,0.00180477
10,22.1018,1.37661,1.13132,1.09406,0.97422,0.69975,0.85065,0.53518,1.47303,1.78042,1.14487,0.0018218,0.0018218,0.0018218
11,23.8755,1.32706,1.11531,1.06506,1,0.7753,0.92098,0.58505,1.40526,1.37377,1.12439,0.001802,0.001802,0.001802
12,25.777,1.3573,1.08819,1.06076,0.94546,0.78704,0.9036,0.52907,1.50901,1.41873,1.15685,0.0017822,0.0017822,0.0017822
13,26.7868,1.33823,1.08509,1.0606,0.94917,0.86448,0.92352,0.59167,1.39784,1.21584,1.11749,0.0017624,0.0017624,0.0017624
14,28.6028,1.24486,1.04596,1.03702,0.94052,0.87853,0.92633,0.59919,1.43691,1.11005,1.13292,0.0017426,0.0017426,0.0017426
15,30.4005,1.314,1.05663,1.05246,0.98956,0.87778,0.93942,0.59827,1.40464,1.05604,1.09796,0.0017228,0.0017228,0.0017228
16,32.1534,1.16733,0.99932,0.99779,0.97884,0.87037,0.93617,0.59499,1.40264,0.91539,1.073,0.001703,0.001703,0.001703
17,34.0709,1.24338,1.00606,1.01001,0.99526,0.88889,0.963,0.63632,1.31244,0.836,1.05668,0.0016832,0.0016832,0.0016832
18,36.0094,1.17444,0.91562,1.00402,1,0.91344,0.97763,0.65639,1.31905,0.79663,1.06627,0.0016634,0.0016634,0.0016634
19,37.8169,1.1745,0.9223,1.00187,0.98937,0.92593,0.97278,0.65342,1.33433,0.81011,1.08025,0.0016436,0.0016436,0.0016436
20,39.6404,1.13939,0.90018,0.98223,0.97664,0.92593,0.96429,0.64691,1.35727,0.7987,1.07062,0.0016238,0.0016238,0.0016238
21,41.4326,1.19907,0.9165,1.0228,0.99723,0.90741,0.97349,0.64063,1.35661,0.81518,1.07437,0.001604,0.001604,0.001604
22,43.2429,1.1973,0.93428,1.03829,0.99683,0.90741,0.97401,0.62818,1.36167,0.78919,1.08637,0.0015842,0.0015842,0.0015842
23,45.0754,1.08037,0.84106,0.96017,0.97027,0.87963,0.958,0.62331,1.30243,0.81578,1.06542,0.0015644,0.0015644,0.0015644
24,46.8628,1.17618,0.87877,0.98799,0.98945,0.86857,0.9527,0.62313,1.30611,0.80497,1.07823,0.0015446,0.0015446,0.0015446
25,48.6613,1.15468,0.80478,0.98476,0.90129,0.92998,0.96848,0.63406,1.34151,0.77085,1.12042,0.0015248,0.0015248,0.0015248
26,50.4607,1.16683,0.82179,1.00109,0.96499,0.88889,0.97642,0.65068,1.35337,0.74057,1.10583,0.001505,0.001505,0.001505
27,52.2744,1.12902,0.83214,1.01877,0.93531,0.9371,0.97484,0.63657,1.33636,0.69459,1.09077,0.0014852,0.0014852,0.0014852
28,54.0763,1.1045,0.78055,0.98868,0.96965,0.88742,0.97225,0.64697,1.32129,0.72582,1.08891,0.0014654,0.0014654,0.0014654
29,55.9157,1.2421,0.86447,1.05479,0.9705,0.90741,0.98095,0.64899,1.3466,0.72511,1.08683,0.0014456,0.0014456,0.0014456
30,57.7719,1.21419,0.87643,1.01987,0.95177,0.90741,0.96804,0.63132,1.2916,0.71814,1.0561,0.0014258,0.0014258,0.0014258
31,58.6297,1.11976,0.77227,0.95921,0.95289,0.93645,0.97626,0.65313,1.29951,0.69426,1.04805,0.001406,0.001406,0.001406
32,60.64,1.1288,0.74713,0.98754,0.93494,0.9537,0.97576,0.66314,1.27537,0.71671,1.04789,0.0013862,0.0013862,0.0013862
33,62.4824,1.09565,0.7975,0.97723,0.95239,0.92612,0.97587,0.65079,1.28656,0.70311,1.07573,0.0013664,0.0013664,0.0013664
34,64.3686,1.15372,0.7918,0.99857,0.9629,0.96134,0.97572,0.64042,1.31475,0.70143,1.08442,0.0013466,0.0013466,0.0013466
35,66.1677,1.12389,0.77754,0.99135,0.96887,0.93519,0.97153,0.64729,1.29267,0.72843,1.08039,0.0013268,0.0013268,0.0013268
36,67.9813,1.07586,0.75533,0.97011,0.97779,0.92593,0.98408,0.64589,1.29638,0.72564,1.08926,0.001307,0.001307,0.001307
37,69.766,1.10665,0.73511,0.97501,0.97185,0.95898,0.98663,0.63056,1.32103,0.68112,1.10299,0.0012872,0.0012872,0.0012872
38,71.5656,1.10401,0.72279,0.93965,0.98111,0.96194,0.98891,0.64889,1.33244,0.63839,1.08979,0.0012674,0.0012674,0.0012674
39,73.4082,1.10742,0.70482,0.9491,0.97142,0.94429,0.98045,0.64281,1.2696,0.64011,1.0634,0.0012476,0.0012476,0.0012476
40,75.2382,1.06252,0.69413,0.94725,0.974,0.9537,0.98262,0.6518,1.27293,0.6176,1.05357,0.0012278,0.0012278,0.0012278
41,77.0853,1.00001,0.68787,0.93469,0.98075,0.94363,0.98671,0.66444,1.25763,0.60574,1.04861,0.001208,0.001208,0.001208
42,78.8924,1.06039,0.68619,0.94255,0.97177,0.96296,0.98517,0.67313,1.27325,0.61314,1.0589,0.0011882,0.0011882,0.0011882
43,80.7167,1.02205,0.66334,0.95119,0.97924,0.96296,0.98821,0.66932,1.28044,0.61522,1.07158,0.0011684,0.0011684,0.0011684
44,82.5531,1.04074,0.66119,0.95624,0.97967,0.98148,0.98622,0.66343,1.2502,0.64151,1.07085,0.0011486,0.0011486,0.0011486
45,84.3074,1.03469,0.65279,0.94142,0.98141,0.97787,0.98399,0.66501,1.23871,0.63782,1.069,0.0011288,0.0011288,0.0011288
46,86.2279,1.03185,0.65109,0.96138,0.98466,0.98148,0.98434,0.6613,1.24869,0.63526,1.06213,0.001109,0.001109,0.001109
47,87.968,1.04754,0.65914,0.96868,0.97874,0.98148,0.98921,0.6697,1.208,0.61621,1.05812,0.0010892,0.0010892,0.0010892
48,89.7835,0.96378,0.62306,0.94503,0.97466,0.97222,0.98841,0.6748,1.21845,0.60863,1.05322,0.0010694,0.0010694,0.0010694
49,90.6354,1.00343,0.64382,0.92973,0.95369,0.98148,0.98733,0.65817,1.20964,0.59507,1.04202,0.0010496,0.0010496,0.0010496
50,92.4516,0.96365,0.63618,0.92433,0.9625,0.98148,0.98771,0.66039,1.21756,0.59301,1.03427,0.0010298,0.0010298,0.0010298
51,94.2694,0.99778,0.62533,0.9252,0.94889,0.98148,0.98741,0.6624,1.22528,0.57735,1.04023,0.00101,0.00101,0.00101
52,96.1444,0.96244,0.62961,0.91545,0.96848,0.9537,0.98487,0.67668,1.19914,0.58059,1.039,0.0009902,0.0009902,0.0009902
53,97.9858,1.00994,0.62764,0.93347,0.97526,0.96296,0.98784,0.67267,1.2114,0.58047,1.04895,0.0009704,0.0009704,0.0009704
54,99.9676,0.94587,0.60003,0.91729,0.96705,0.96296,0.98426,0.66995,1.22573,0.57238,1.0539,0.0009506,0.0009506,0.0009506
55,101.79,0.97376,0.60648,0.90498,0.97984,0.94444,0.98195,0.66686,1.19693,0.56127,1.04539,0.0009308,0.0009308,0.0009308
