epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.72397,0,54.0429,0,0,0,0,0,0,41.3438,0,0.0001,0.0001,0.0001
2,3.63579,0,53.2551,0,0,0,0,0,0,41.3438,0,0.000215644,0.000215644,0.000215644
3,4.41306,0,51.73,0,0,0,0,0,0,41.3438,0,0.000326536,0.000326536,0.000326536
4,5.15223,0,48.9278,0,0,0,0,0,0,41.5,0,0.000432676,0.000432676,0.000432676
5,5.94664,0,46.0715,0,0,0,0,0,0,42.0625,0,0.000534064,0.000534064,0.000534064
6,6.726,0,43.2001,0,0,0,0,0,0,41.3125,0,0.0006307,0.0006307,0.0006307
7,7.48506,0,40.7656,0,0,0,0,0,0,39.2812,0,0.000722584,0.000722584,0.000722584
8,8.22373,0,38.7895,0,0,0,0,0,0,39.2812,0,0.000809716,0.000809716,0.000809716
9,9.03809,0,37.3425,0,0,0,0,0,0,39.0625,0,0.000892096,0.000892096,0.000892096
10,9.83747,0,37.5776,0,0,0,0,0,0,37,0,0.000969724,0.000969724,0.000969724
11,10.5488,0,35.9586,0,0,0,0,0,0,37.25,0,0.0010426,0.0010426,0.0010426
12,11.2887,0,35.1467,0,0,0,0,0,0,38.125,0,0.00111072,0.00111072,0.00111072
13,10.7436,0,33.8795,0,0,0,0,0,0,31.9531,0,0.0011741,0.0011741,0.0011741
14,11.4891,0,32.9331,0,0,0,0,0,0,25.5156,0,0.00123272,0.00123272,0.00123272
15,12.2315,0,33.2201,0,0,0,0,0,0,25.5156,0,0.00128658,0.00128658,0.00128658
16,12.975,0,33.5788,0,0,0,0,0,0,24.9844,0,0.0013357,0.0013357,0.0013357
17,13.7116,0,32.6755,0,0,0,0,0,0,16.25,0,0.0013664,0.0013664,0.0013664
18,14.4374,0,31.9861,0,0,0,0,0,0,16.7656,0,0.0013268,0.0013268,0.0013268
19,15.1888,0,31.278,0,0,0,0,0,0,16.7656,0,0.0012872,0.0012872,0.0012872
20,16.0615,0,30.6324,0,0,0,0,0,0,17.125,0,0.0012476,0.0012476,0.0012476
21,16.9169,0,30.2692,0,0,0,0,0,0,840,0,0.001208,0.001208,0.001208
22,17.7579,0,29.6577,0,0,0,0,0,0,11.8281,0,0.0011684,0.0011684,0.0011684
23,18.6246,0,28.9419,0,0,0,0,0,0,11.8281,0,0.0011288,0.0011288,0.0011288
24,19.4635,0,28.5221,0,0,0,0,0,0,13.1016,0,0.0010892,0.0010892,0.0010892
25,20.3122,0,28.1239,0,0,0,0,0,0,12.1094,0,0.0010496,0.0010496,0.0010496
26,21.2603,0,27.9442,0,0,0,0,0,0,12.2891,0,0.00101,0.00101,0.00101
27,22.1394,0,27.399,0,0,0,0,0,0,12.2891,0,0.0009704,0.0009704,0.0009704
28,23.0957,0,26.9248,0,0,0,0,0,0,12.3203,0,0.0009308,0.0009308,0.0009308
29,24.014,0,26.5857,0,0,0,0,0,0,11.9062,0,0.0008912,0.0008912,0.0008912
30,24.9489,0,26.3684,0,0,0,0,0,0,11.4531,0,0.0008516,0.0008516,0.0008516
31,25.8591,0,26.0045,0,0,0,0,0,0,11.4531,0,0.000812,0.000812,0.000812
32,26.6872,0,25.6863,0,0,0,0,0,0,11.2969,0,0.0007724,0.0007724,0.0007724
33,27.5629,0,25.4745,0,0,0,0,0,0,11.4609,0,0.0007328,0.0007328,0.0007328
34,28.4231,0,25.176,0,0,0,0,0,0,11.5625,0,0.0006932,0.0006932,0.0006932
35,29.2864,0,24.8628,0,0,0,0,0,0,11.5625,0,0.0006536,0.0006536,0.0006536
36,30.2529,0,24.6772,0,0,0,0,0,0,11.6641,0,0.000614,0.000614,0.000614
37,31.0513,0,24.5295,0,0,0,0,0,0,11.5938,0,0.0005744,0.0005744,0.0005744
38,31.8076,0,24.3981,0,0,0,0,0,0,11.3281,0,0.0005348,0.0005348,0.0005348
39,32.5909,0,24.2007,0,0,0,0,0,0,11.3281,0,0.0004952,0.0004952,0.0004952
40,33.3912,0,24.0939,0,0,0,0,0,0,11.0703,0,0.0004556,0.0004556,0.0004556
41,34.9486,0,24.1501,0,0,0,0,0,0,10.6875,0,0.000416,0.000416,0.000416
42,35.9421,0,24.0355,0,0,0,0,0,0,10.0781,0,0.0003764,0.0003764,0.0003764
43,36.7513,0,23.6708,0,0,0,0,0,0,10.0781,0,0.0003368,0.0003368,0.0003368
44,37.6059,0,23.5827,0,0,0,0,0,0,9.82812,0,0.0002972,0.0002972,0.0002972
45,38.493,0,23.5763,0,0,0,0,0,0,9.29688,0,0.0002576,0.0002576,0.0002576
46,39.4442,0,23.4912,0,0,0,0,0,0,9.01562,0,0.000218,0.000218,0.000218
47,40.3006,0,23.3551,0,0,0,0,0,0,9.01562,0,0.0001784,0.0001784,0.0001784
48,41.2245,0,23.3769,0,0,0,0,0,0,8.875,0,0.0001388,0.0001388,0.0001388
49,42.1036,0,23.2521,0,0,0,0,0,0,8.8125,0,9.92e-05,9.92e-05,9.92e-05
50,41.6895,0,23.2323,0,0,0,0,0,0,8.78906,0,5.96e-05,5.96e-05,5.96e-05
