epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.37398,1.90408,4.51956,1.20398,0.00233,0.33333,0.00483,0.0023,1.43838,3.65927,1.09407,8e-05,8e-05,8e-05
2,3.43408,1.931,4.19356,1.16812,0.005,0.71429,0.01055,0.00549,1.40583,3.56041,1.01814,0.000176436,0.000176436,0.000176436
3,4.4135,1.57258,3.2201,0.99939,0.006,0.85714,0.01422,0.00771,1.48938,3.45506,1.02095,0.000268912,0.000268912,0.000268912
4,5.5313,1.65563,2.36007,1.02018,0.00633,0.90476,0.01814,0.0087,1.51935,3.24346,1.03745,0.000357428,0.000357428,0.000357428
5,6.5202,1.52525,2.16581,1.03015,0.00633,0.90476,0.02135,0.00931,1.49751,3.26269,1.05344,0.000441984,0.000441984,0.000441984
6,7.39446,1.59036,1.74649,1.07158,0.006,0.85714,0.02045,0.00942,1.55579,3.36411,1.08322,0.00052258,0.00052258,0.00052258
7,8.54641,1.63118,2.00886,1.0508,0.00533,0.7619,0.01257,0.00631,1.57115,3.46035,1.10903,0.000599216,0.000599216,0.000599216
8,9.69566,1.59851,1.70966,1.11889,0.005,0.71429,0.01011,0.00531,1.53639,3.37792,1.10806,0.000671892,0.000671892,0.000671892
9,10.6309,1.4003,1.64432,1.01674,0.00467,0.66667,0.15408,0.1113,1.48991,3.29474,1.10358,0.000740608,0.000740608,0.000740608
10,11.5235,1.49263,1.53302,1.12168,0.005,0.71429,0.00809,0.00459,1.51259,3.4321,1.08402,0.000805364,0.000805364,0.000805364
11,12.3751,1.37823,1.53262,1.01478,0.005,0.71429,0.00888,0.00469,1.53337,3.41427,1.08584,0.00086616,0.00086616,0.00086616
12,13.2309,1.38964,1.5115,1.06188,0.005,0.71429,0.01248,0.00727,1.49345,3.29692,1.08274,0.000922996,0.000922996,0.000922996
13,14.0423,1.51924,1.37912,1.03215,0.005,0.71429,0.15332,0.12248,1.42566,3.24208,1.09776,0.000975872,0.000975872,0.000975872
14,14.8861,1.51517,1.50313,1.05526,0.005,0.71429,0.15332,0.12248,1.42566,3.24208,1.09776,0.00102479,0.00102479,0.00102479
15,15.7282,1.33123,1.27825,1.0266,1,0.09505,0.15109,0.12179,1.50847,3.28224,1.14471,0.00106974,0.00106974,0.00106974
16,16.5539,1.23859,1.29902,1.01222,1,0.12671,0.20165,0.13498,1.54793,3.16242,1.17504,0.00111074,0.00111074,0.00111074
17,17.4459,1.42067,1.32741,1.03794,1,0.17517,0.4463,0.27602,1.51441,2.89268,1.14243,0.00114778,0.00114778,0.00114778
18,18.3245,1.41021,1.36533,1.02419,1,0.17517,0.4463,0.27602,1.51441,2.89268,1.14243,0.00118085,0.00118085,0.00118085
19,19.1991,1.37843,1.20506,0.96749,1,0.19426,0.62011,0.38269,1.48406,2.66704,1.13402,0.00120997,0.00120997,0.00120997
20,20.0445,1.37808,1.2711,1.02645,1,0.29624,0.80161,0.46453,1.54776,2.36769,1.19071,0.00123512,0.00123512,0.00123512
21,20.8639,1.40786,1.20988,1.01213,1,0.29624,0.80161,0.46453,1.54776,2.36769,1.19071,0.001208,0.001208,0.001208
22,21.7303,1.3507,1.15948,1.00792,1,0.47028,0.8025,0.47043,1.52234,2.21187,1.18951,0.0011684,0.0011684,0.0011684
23,21.3229,1.3435,1.16391,1.00176,0.97689,0.80952,0.80693,0.465,1.60924,1.89873,1.20102,0.0011288,0.0011288,0.0011288
24,22.139,1.29651,1.0925,0.9614,0.97689,0.80952,0.80693,0.465,1.60924,1.89873,1.20102,0.0010892,0.0010892,0.0010892
25,22.9619,1.31228,1.17305,0.92787,0.98712,0.80952,0.80662,0.40888,1.65152,1.79959,1.19963,0.0010496,0.0010496,0.0010496
26,23.7555,1.31389,1.12019,1.0597,0.98712,0.80952,0.80662,0.40888,1.65152,1.79959,1.19963,0.00101,0.00101,0.00101
27,24.6049,1.26254,1.14096,0.96711,0.98628,0.80952,0.80657,0.4145,1.57617,1.80053,1.19649,0.0009704,0.0009704,0.0009704
28,25.4777,1.30759,1.20996,0.97979,0.97166,0.80952,0.80643,0.43322,1.52299,1.61867,1.16701,0.0009308,0.0009308,0.0009308
29,26.2945,1.14675,1.01334,0.99808,0.97166,0.80952,0.80643,0.43322,1.52299,1.61867,1.16701,0.0008912,0.0008912,0.0008912
30,27.176,1.29806,1.12597,1.00115,0.97449,0.80952,0.80924,0.44786,1.51658,1.42346,1.15351,0.0008516,0.0008516,0.0008516
31,28.0189,1.15831,1.11073,0.92655,0.98916,0.80952,0.82616,0.44901,1.4752,1.33663,1.12025,0.000812,0.000812,0.000812
32,28.8543,1.21829,1.17962,0.95119,0.98916,0.80952,0.82616,0.44901,1.4752,1.33663,1.12025,0.0007724,0.0007724,0.0007724
