epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.39508,1.81154,3.89508,1.34761,0.005,0.47727,0.0096,0.00465,1.4478,3.58949,1.18619,0.00018,0.00018,0.00018
2,11.5811,1.66777,2.98253,1.26253,0.00917,0.875,0.04838,0.01806,1.53684,3.15819,1.16989,0.000372408,0.000372408,0.000372408
3,13.2665,1.43201,1.82235,1.17101,0.00893,0.85227,0.03365,0.01293,1.67238,3.14273,1.19796,0.000556823,0.000556823,0.000556823
4,14.9658,1.58398,1.81412,1.22165,0.00905,0.86364,0.04173,0.01378,1.71681,3.08577,1.31178,0.000733247,0.000733247,0.000733247
5,16.6479,1.58198,1.73919,1.29129,1,0.12968,0.25983,0.11517,1.70667,3.08216,1.25217,0.000901678,0.000901678,0.000901678
6,18.3384,1.47582,1.51884,1.18888,0.97384,0.22727,0.3103,0.1475,1.71412,2.98262,1.25037,0.00106212,0.00106212,0.00106212
7,19.983,1.46872,1.54242,1.17053,0.00833,0.79545,0.14146,0.05797,1.75094,3.23468,1.30961,0.00121457,0.00121457,0.00121457
8,21.7627,1.4444,1.50108,1.18516,1,0.39824,0.72735,0.28812,1.84476,2.30599,1.38763,0.00135902,0.00135902,0.00135902
9,23.4148,1.57485,1.54955,1.25701,0.48044,0.52273,0.42815,0.19311,1.74726,2.11871,1.34221,0.00149548,0.00149548,0.00149548
10,23.6835,1.79773,1.54807,1.31312,0.83935,0.59376,0.77913,0.44089,1.58614,1.81245,1.22054,0.00162396,0.00162396,0.00162396
11,25.4117,1.58217,1.49536,1.24544,0.9297,0.75141,0.85581,0.42297,1.63189,1.42438,1.27273,0.0016004,0.0016004,0.0016004
12,27.1252,1.46664,1.31824,1.22293,0.91696,0.75,0.88023,0.42142,1.59815,1.37382,1.25065,0.00156044,0.00156044,0.00156044
13,28.8574,1.45054,1.39617,1.16154,0.86847,0.81818,0.85475,0.41443,1.60446,1.46279,1.23109,0.00152048,0.00152048,0.00152048
14,30.5079,1.47598,1.27092,1.21784,0.88585,0.63636,0.79089,0.42488,1.64941,1.29969,1.27882,0.00148052,0.00148052,0.00148052
15,32.1335,1.51688,1.35488,1.21642,0.90431,0.85913,0.9167,0.49315,1.64385,1.19618,1.31122,0.00144056,0.00144056,0.00144056
16,33.7843,1.55096,1.38553,1.24327,0.97867,0.80682,0.92225,0.53021,1.55693,1.04422,1.23881,0.0014006,0.0014006,0.0014006
17,35.4748,1.44805,1.21134,1.16093,0.89109,0.88636,0.93028,0.52661,1.50422,1.00292,1.18644,0.00136064,0.00136064,0.00136064
18,37.267,1.47981,1.18956,1.13678,0.95066,0.88636,0.95078,0.45047,1.73635,1.02438,1.29801,0.00132068,0.00132068,0.00132068
19,38.8543,1.50539,1.17312,1.20506,0.92148,0.90909,0.95194,0.48279,1.65642,1.00516,1.26445,0.00128072,0.00128072,0.00128072
20,40.5263,1.46256,1.10309,1.18318,0.91967,0.88636,0.94531,0.5543,1.45665,0.97826,1.16854,0.00124076,0.00124076,0.00124076
21,42.2021,1.51583,1.29863,1.24795,0.92746,0.875,0.93587,0.55289,1.42474,0.9556,1.15969,0.0012008,0.0012008,0.0012008
22,43.9057,1.38546,1.26118,1.13464,0.95268,0.91507,0.95194,0.4987,1.60464,0.92758,1.23207,0.00116084,0.00116084,0.00116084
23,45.6573,1.38278,1.09871,1.11883,0.96198,0.86251,0.94144,0.51173,1.54361,0.9452,1.21254,0.00112088,0.00112088,0.00112088
24,47.3675,1.37187,1.1057,1.10345,0.97611,0.88636,0.94732,0.54785,1.46039,0.93525,1.17045,0.00108092,0.00108092,0.00108092
25,49.0499,1.32837,1.05335,1.13046,0.96366,0.90395,0.9399,0.57761,1.44774,0.9041,1.16436,0.00104096,0.00104096,0.00104096
26,51.0791,1.40248,1.08408,1.18364,0.98378,0.89773,0.95959,0.56555,1.4699,0.84137,1.16603,0.001001,0.001001,0.001001
27,53.6409,1.51095,1.21199,1.20142,0.98743,0.89291,0.97183,0.53328,1.51726,0.85215,1.18568,0.00096104,0.00096104,0.00096104
28,54.4541,1.47828,1.11488,1.13425,0.96291,0.88507,0.95683,0.5392,1.46608,0.87987,1.16289,0.00092108,0.00092108,0.00092108
29,56.4648,1.38702,1.0469,1.13225,0.97208,0.875,0.95156,0.56097,1.41495,0.85648,1.14685,0.00088112,0.00088112,0.00088112
30,58.4302,1.3128,1.03296,1.12674,0.98729,0.88271,0.95764,0.5536,1.45732,0.81522,1.16742,0.00084116,0.00084116,0.00084116
31,60.175,1.29376,1.04495,1.12946,0.98804,0.93882,0.96201,0.48543,1.6625,0.87306,1.26085,0.0008012,0.0008012,0.0008012
32,61.8556,1.43908,1.01966,1.1381,0.97685,0.93182,0.96043,0.44546,1.77908,0.91951,1.33128,0.00076124,0.00076124,0.00076124
33,63.5513,1.36544,1.01938,1.08606,0.96452,0.92666,0.95941,0.45547,1.72931,0.89039,1.30256,0.00072128,0.00072128,0.00072128
34,65.3308,1.41856,1.0175,1.1031,0.98787,0.92517,0.96107,0.54506,1.50232,0.79254,1.17777,0.00068132,0.00068132,0.00068132
35,67.1305,1.28366,0.91127,1.05289,0.97001,0.92045,0.95976,0.56193,1.45747,0.76791,1.14928,0.00064136,0.00064136,0.00064136
