epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.34048,1.78425,3.62817,1.345,0.0079,0.76852,0.05623,0.03199,1.48882,3.45213,1.11706,0.0002,0.0002,0.0002
2,5.08109,1.66498,2.52907,1.16383,0.00943,0.91667,0.43266,0.15631,1.54649,3.02265,1.02532,0.000411608,0.000411608,0.000411608
3,6.75895,1.57889,1.91417,1.17248,0.00924,0.89815,0.05967,0.03082,1.70789,3.07425,1.13887,0.000614426,0.000614426,0.000614426
4,8.45728,1.65228,1.90851,1.26128,0.00905,0.87963,0.46606,0.26346,1.58066,2.84463,1.20595,0.000808452,0.000808452,0.000808452
5,10.2167,1.51071,1.71101,1.2111,1,0.2687,0.4759,0.21616,1.79895,2.97227,1.23366,0.000993686,0.000993686,0.000993686
6,11.9846,1.46785,1.57883,1.15801,1,0.04351,0.41168,0.17295,1.87895,3.11393,1.28277,0.00117013,0.00117013,0.00117013
7,13.6795,1.56628,1.55822,1.20145,1,0.20054,0.53901,0.23547,1.81096,2.8253,1.2688,0.00133778,0.00133778,0.00133778
8,15.3683,1.5089,1.60432,1.18349,0.96311,0.48352,0.66805,0.27794,1.84398,2.45018,1.29747,0.00149664,0.00149664,0.00149664
9,17.0655,1.54923,1.61462,1.21306,0.98267,0.52516,0.79137,0.39993,1.74636,2.25576,1.28304,0.00164671,0.00164671,0.00164671
10,18.6518,1.49455,1.39474,1.19054,0.9571,0.61968,0.848,0.49271,1.58597,1.92395,1.18572,0.00164036,0.00164036,0.00164036
11,20.2904,1.55238,1.36893,1.23957,0.93685,0.82417,0.91446,0.48293,1.66161,1.41299,1.21876,0.0016004,0.0016004,0.0016004
12,21.9177,1.45053,1.23973,1.12848,0.82808,0.80277,0.8169,0.45741,1.56307,1.38228,1.13542,0.00156044,0.00156044,0.00156044
13,23.5532,1.54218,1.28663,1.17323,0.90445,0.80556,0.85147,0.4753,1.6043,1.23311,1.14665,0.00152048,0.00152048,0.00152048
14,25.135,1.47322,1.27305,1.15471,0.82922,0.80926,0.85672,0.35627,2.00796,1.41621,1.37272,0.00148052,0.00148052,0.00148052
15,26.9293,1.62101,1.32802,1.25547,0.80272,0.7963,0.84186,0.43608,1.77838,1.29749,1.26061,0.00144056,0.00144056,0.00144056
16,28.5818,1.4218,1.19795,1.16599,0.929,0.80556,0.88971,0.45816,1.67595,1.11811,1.22441,0.0014006,0.0014006,0.0014006
17,30.1943,1.41461,1.18637,1.13222,0.95132,0.81481,0.92048,0.4203,1.86618,1.12984,1.33444,0.00136064,0.00136064,0.00136064
18,30.2864,1.36889,1.10981,1.10829,0.97903,0.86476,0.94423,0.41638,1.90194,1.09569,1.37207,0.00132068,0.00132068,0.00132068
