epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0193,1.15789,1.71475,1.65219,0.59619,0.598,0.5417,0.29013,1.05082,2.29409,1.57733,0.000656566,0.000656566,0.000656566
2,49.0842,0.96201,1.10622,1.48552,0.90125,0.67598,0.77728,0.52426,1.03891,1.28993,1.74174,0.00129703,0.00129703,0.00129703
3,72.0966,0.93815,0.98791,1.46037,0.62084,0.63117,0.59341,0.22628,1.79166,2.21654,2.48801,0.0019111,0.0019111,0.0019111
4,93.5298,0.8964,0.86234,1.4164,0.97262,0.89298,0.95928,0.63297,1.03552,0.73952,1.6604,0.0018812,0.0018812,0.0018812
5,112.093,0.88241,0.80961,1.41548,0.93568,0.93459,0.95935,0.62253,1.10136,0.82512,1.83876,0.0018416,0.0018416,0.0018416
6,130.242,0.81108,0.73059,1.36802,0.9564,0.91907,0.9706,0.71785,0.67661,0.62802,1.14185,0.001802,0.001802,0.001802
7,148.284,0.80556,0.70597,1.3503,0.93168,0.75978,0.89412,0.65775,0.96009,0.63521,1.33129,0.0017624,0.0017624,0.0017624
8,166.954,0.79826,0.68779,1.34629,0.9761,0.89944,0.95453,0.67458,0.91201,0.60313,1.33677,0.0017228,0.0017228,0.0017228
9,184.488,0.78873,0.66576,1.33314,0.94271,0.87335,0.94707,0.73171,0.73868,0.54201,1.19618,0.0016832,0.0016832,0.0016832
10,205.018,0.76306,0.64726,1.31512,0.94478,0.89944,0.96303,0.76713,0.62859,0.55445,1.10033,0.0016436,0.0016436,0.0016436
11,228.542,0.75965,0.65098,1.3226,0.92025,0.89106,0.93149,0.63318,0.91869,0.90168,1.41405,0.001604,0.001604,0.001604
12,247.785,0.75403,0.6234,1.30794,0.96203,0.92008,0.97882,0.74718,0.614,0.48652,1.00292,0.0015644,0.0015644,0.0015644
13,267.795,0.71001,0.5781,1.2747,0.92257,0.93192,0.94713,0.72701,0.66968,0.50578,1.05639,0.0015248,0.0015248,0.0015248
14,291.708,0.70775,0.58487,1.27785,0.9718,0.92458,0.968,0.76319,0.68466,0.54089,1.09394,0.0014852,0.0014852,0.0014852
15,312.241,0.71243,0.58627,1.26876,0.98271,0.93575,0.96924,0.75717,0.57704,0.50266,1.00998,0.0014456,0.0014456,0.0014456
16,332.623,0.69549,0.55102,1.25298,0.98272,0.95341,0.98309,0.78217,0.64904,0.37685,1.04664,0.001406,0.001406,0.001406
17,350.893,0.67648,0.57643,1.24092,0.9851,0.93855,0.97505,0.71828,0.86696,0.50166,1.27592,0.0013664,0.0013664,0.0013664
18,368.214,0.67183,0.54846,1.25154,0.94551,0.94972,0.97151,0.74444,0.77024,0.45224,1.15077,0.0013268,0.0013268,0.0013268
19,385.673,0.66004,0.5419,1.23672,0.94558,0.94693,0.97274,0.75101,0.73956,0.43129,1.10052,0.0012872,0.0012872,0.0012872
20,403.667,0.64188,0.51391,1.21872,0.96832,0.93855,0.97317,0.75646,0.63613,0.48734,1.03061,0.0012476,0.0012476,0.0012476
21,422.168,0.64635,0.53749,1.23899,0.99147,0.94693,0.97985,0.78743,0.62993,0.35372,0.96157,0.001208,0.001208,0.001208
22,440.536,0.62986,0.52075,1.21343,0.95384,0.94972,0.98309,0.77352,0.60517,0.40538,0.96058,0.0011684,0.0011684,0.0011684
23,458.408,0.63138,0.50805,1.21896,0.98538,0.94139,0.98479,0.8136,0.4969,0.39981,0.849,0.0011288,0.0011288,0.0011288
24,480.2,0.63675,0.5101,1.22065,0.96558,0.94037,0.9834,0.78828,0.6246,0.3834,0.95972,0.0010892,0.0010892,0.0010892
25,503.297,0.61826,0.50269,1.2101,0.97942,0.93575,0.98066,0.8303,0.52587,0.3476,0.8854,0.0010496,0.0010496,0.0010496
26,524.359,0.61102,0.4875,1.19837,0.9856,0.95602,0.98245,0.78195,0.64289,0.39635,1.03138,0.00101,0.00101,0.00101
27,546.063,0.60687,0.47544,1.18708,0.97729,0.96147,0.98978,0.82392,0.5393,0.33508,0.91086,0.0009704,0.0009704,0.0009704
28,568.382,0.59206,0.49171,1.19334,0.97929,0.94972,0.98504,0.79197,0.59102,0.33928,0.93419,0.0009308,0.0009308,0.0009308
29,589.981,0.59677,0.47702,1.18022,0.96654,0.96817,0.98427,0.83078,0.51753,0.33077,0.86788,0.0008912,0.0008912,0.0008912
30,619.563,0.5833,0.44865,1.17085,0.98624,0.96089,0.98799,0.79744,0.67094,0.34874,1.04005,0.0008516,0.0008516,0.0008516
31,641.595,0.56852,0.43836,1.16415,0.97913,0.9581,0.98338,0.81253,0.56034,0.33456,0.8797,0.000812,0.000812,0.000812
32,664.222,0.56315,0.44087,1.16118,0.97852,0.95531,0.98806,0.78125,0.67044,0.35509,0.99487,0.0007724,0.0007724,0.0007724
33,684.781,0.57855,0.46131,1.17739,0.97728,0.96104,0.99099,0.79772,0.66269,0.34226,0.99946,0.0007328,0.0007328,0.0007328
34,703.69,0.58419,0.45973,1.17994,0.97115,0.96648,0.98717,0.79194,0.7094,0.34747,1.02341,0.0006932,0.0006932,0.0006932
35,720.347,0.55253,0.42199,1.14265,0.97187,0.96509,0.98872,0.81533,0.59979,0.33349,0.95963,0.0006536,0.0006536,0.0006536
36,738.853,0.55784,0.43596,1.15458,0.97169,0.95891,0.98862,0.81674,0.58975,0.37149,0.92145,0.000614,0.000614,0.000614
37,756.31,0.53233,0.41886,1.1465,0.98851,0.96085,0.99156,0.81472,0.61795,0.30916,0.93779,0.0005744,0.0005744,0.0005744
38,774.292,0.52539,0.42276,1.14052,0.97669,0.96648,0.99185,0.81079,0.67236,0.30761,0.97797,0.0005348,0.0005348,0.0005348
39,792.4,0.52484,0.40285,1.13032,0.97366,0.96927,0.98851,0.80739,0.62363,0.28509,0.98336,0.0004952,0.0004952,0.0004952
40,809.323,0.52479,0.40291,1.1382,0.97232,0.98132,0.99202,0.81786,0.57053,0.28319,0.89284,0.0004556,0.0004556,0.0004556
41,831.876,0.35068,0.32268,1.04987,0.98534,0.97207,0.99318,0.84435,0.5027,0.27972,0.80549,0.000416,0.000416,0.000416
42,849.723,0.33953,0.24287,1.01592,0.99423,0.96258,0.99262,0.83986,0.54771,0.26872,0.85633,0.0003764,0.0003764,0.0003764
43,867.564,0.32496,0.2367,1.00888,1,0.96314,0.992,0.86902,0.5087,0.27108,0.81372,0.0003368,0.0003368,0.0003368
44,885.751,0.30238,0.21888,1.00252,0.99425,0.96539,0.99184,0.8585,0.49746,0.23932,0.80708,0.0002972,0.0002972,0.0002972
45,904.71,0.29076,0.20259,0.99553,0.9914,0.9658,0.99245,0.85471,0.48513,0.24002,0.79631,0.0002576,0.0002576,0.0002576
46,923.922,0.28995,0.19626,0.98515,0.99282,0.96089,0.99295,0.84149,0.52467,0.24513,0.8119,0.000218,0.000218,0.000218
47,941.236,0.28835,0.19862,0.98689,0.99372,0.96089,0.99289,0.88205,0.44734,0.219,0.75538,0.0001784,0.0001784,0.0001784
48,958.302,0.27363,0.19784,0.97051,0.99424,0.96359,0.99285,0.88057,0.43361,0.21162,0.73841,0.0001388,0.0001388,0.0001388
49,977.535,0.2819,0.19153,0.98747,0.99425,0.96566,0.99303,0.87454,0.46789,0.21521,0.76102,9.92e-05,9.92e-05,9.92e-05
50,995.638,0.2684,0.18568,0.98034,0.99184,0.96369,0.99313,0.86197,0.4836,0.22152,0.77906,5.96e-05,5.96e-05,5.96e-05
