epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.448,1.72782,3.60737,1.6578,0.86343,0.09378,0.70742,0.26304,1.57539,4.16824,1.46243,0.000651515,0.000651515,0.000651515
2,172.122,1.66959,2.72425,1.6057,0.67528,0.61618,0.67998,0.31325,1.48389,3.37691,1.61085,0.00129208,0.00129208,0.00129208
3,211.947,1.67497,2.41624,1.59092,0.55837,0.78519,0.67557,0.32766,1.65508,2.91052,1.72659,0.00190625,0.00190625,0.00190625
4,249.521,1.64757,2.15598,1.60929,0.56975,0.77778,0.74792,0.32799,1.56326,3.05266,1.5893,0.0018812,0.0018812,0.0018812
5,282.275,1.6505,1.93653,1.61054,0.48562,0.59259,0.53501,0.27967,1.5052,1.92961,1.623,0.0018416,0.0018416,0.0018416
6,311.914,1.62643,1.81087,1.60722,0.71382,0.81481,0.82294,0.41156,1.62634,1.57233,1.69458,0.001802,0.001802,0.001802
7,345.634,1.62815,1.67465,1.6043,0.74055,0.82963,0.85408,0.52514,1.34957,1.38274,1.59148,0.0017624,0.0017624,0.0017624
8,377.964,1.63104,1.58098,1.61836,0.55415,0.48148,0.48841,0.27767,1.59188,2.1456,1.69532,0.0017228,0.0017228,0.0017228
9,410.121,1.60341,1.48316,1.58967,0.72501,0.74074,0.81073,0.42744,1.54925,1.19843,1.68459,0.0016832,0.0016832,0.0016832
10,441.922,1.57343,1.38074,1.52104,0.6691,0.8987,0.84023,0.41548,1.63652,1.26621,1.69251,0.0016436,0.0016436,0.0016436
11,474.2,1.55571,1.3562,1.53166,0.75459,0.88148,0.88347,0.46643,1.58451,1.09047,1.67361,0.001604,0.001604,0.001604
12,503.62,1.57582,1.31976,1.5886,0.77396,0.82222,0.88085,0.47016,1.54553,0.99289,1.57876,0.0015644,0.0015644,0.0015644
13,535.071,1.5442,1.33369,1.54312,0.7832,0.74926,0.82697,0.41704,1.66955,1.33218,1.63013,0.0015248,0.0015248,0.0015248
14,567.05,1.56287,1.33999,1.56774,0.72603,0.83704,0.84951,0.45786,1.59575,1.06134,1.61857,0.0014852,0.0014852,0.0014852
