epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5691,1.83882,10.0813,1.80364,0.53908,0.48889,0.45193,0.24956,1.59539,3.1542,1.93381,0.000651515,0.000651515,0.000651515
2,45.1874,1.74248,1.98457,1.70511,0.00893,0.62963,0.00807,0.00361,1.76798,106.473,2.41936,0.00129208,0.00129208,0.00129208
3,78.8764,1.72355,1.76718,1.72,0.00138,0.53333,0.00104,0.00039,2.23917,inf,2.68185,0.00190625,0.00190625,0.00190625
4,101.148,1.75201,1.54697,1.75468,0.20147,0.36818,0.22915,0.12218,1.64793,3.36186,1.9473,0.0018812,0.0018812,0.0018812
5,123.753,1.74781,1.55199,1.75647,0.29719,0.18519,0.13497,0.05697,2.51876,3.52108,2.49629,0.0018416,0.0018416,0.0018416
6,147.159,1.74683,1.50789,1.73596,0.08858,0.74292,0.08553,0.03507,1.90433,14.2391,2.08432,0.001802,0.001802,0.001802
7,163.656,1.73428,1.47337,1.7258,0.70897,0.74815,0.81423,0.46053,1.41035,1.98202,1.75414,0.0017624,0.0017624,0.0017624
8,180.061,1.68232,1.50929,1.70204,0.65491,0.42222,0.50735,0.27998,1.61168,3.39943,1.78991,0.0017228,0.0017228,0.0017228
9,196.376,1.64267,1.38486,1.6687,0.77375,0.8,0.85167,0.44196,1.57426,1.04508,1.75671,0.0016832,0.0016832,0.0016832
10,212.845,1.61852,1.31363,1.60466,0.6814,0.7037,0.74342,0.38261,1.74595,1.37087,1.88564,0.0016436,0.0016436,0.0016436
11,229.188,1.60965,1.32322,1.62848,0.7795,0.78519,0.86063,0.45199,1.57855,1.32901,1.75068,0.001604,0.001604,0.001604
12,245.669,1.63391,1.30463,1.65953,0.78203,0.77037,0.87051,0.47596,1.57221,1.02212,1.71137,0.0015644,0.0015644,0.0015644
13,262.255,1.61298,1.31762,1.6295,0.00837,0.51111,0.00753,0.00383,1.73142,31.7655,1.83042,0.0015248,0.0015248,0.0015248
14,279.562,1.65403,1.35702,1.6889,0.74525,0.84512,0.87423,0.49112,1.50867,0.99913,1.6883,0.0014852,0.0014852,0.0014852
15,296.69,1.64836,1.41105,1.68054,0.69476,0.72499,0.77723,0.32093,1.958,1.4535,1.96872,0.0014456,0.0014456,0.0014456
16,314.232,1.59007,1.26327,1.60813,0.71337,0.81118,0.83249,0.39498,1.82479,1.06214,1.91791,0.001406,0.001406,0.001406
17,331.552,1.56589,1.29839,1.60292,0.74416,0.79722,0.83188,0.46537,1.48857,1.29035,1.64707,0.0013664,0.0013664,0.0013664
18,348.913,1.5363,1.25157,1.58177,0.78652,0.85926,0.8766,0.49378,1.57477,0.97794,1.68955,0.0013268,0.0013268,0.0013268
19,366.061,1.54628,1.1975,1.59203,0.80904,0.84734,0.88545,0.49575,1.52028,0.91788,1.65031,0.0012872,0.0012872,0.0012872
20,383.098,1.49594,1.13875,1.57225,0.77016,0.81911,0.87112,0.40111,1.90195,0.95707,1.95801,0.0012476,0.0012476,0.0012476
21,400.122,1.51182,1.18141,1.58993,0.78462,0.80957,0.87058,0.44562,1.66002,0.98395,1.75366,0.001208,0.001208,0.001208
22,417.415,1.5382,1.1844,1.60132,0.76461,0.88148,0.89051,0.46176,1.68991,0.92435,1.80097,0.0011684,0.0011684,0.0011684
23,434.728,1.568,1.22912,1.5944,0.69895,0.88889,0.8716,0.44009,1.73163,0.97794,1.78577,0.0011288,0.0011288,0.0011288
24,451.808,1.53843,1.23944,1.58267,0.7728,0.85664,0.86905,0.46054,1.56634,0.86706,1.67107,0.0010892,0.0010892,0.0010892
25,468.982,1.48234,1.15834,1.55922,0.78769,0.80741,0.88606,0.45221,1.65118,0.91125,1.73156,0.0010496,0.0010496,0.0010496
26,485.983,1.55063,1.20902,1.56715,0.79148,0.78519,0.88977,0.46171,1.70513,0.91873,1.75074,0.00101,0.00101,0.00101
27,503.083,1.51054,1.16236,1.54241,0.80116,0.79259,0.89479,0.45895,1.72833,0.91109,1.76076,0.0009704,0.0009704,0.0009704
28,520.165,1.4931,1.1137,1.54651,0.8195,0.84078,0.90628,0.43621,1.76317,0.88907,1.81767,0.0009308,0.0009308,0.0009308
29,537.514,1.4926,1.07902,1.52095,0.74684,0.80741,0.84222,0.4216,1.73912,0.99025,1.77634,0.0008912,0.0008912,0.0008912
