epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.276,1.8188,8.3334,1.82863,0.18391,0.51414,0.16361,0.05345,1.9494,3.73993,1.97312,0.000659091,0.000659091,0.000659091
2,39.6163,1.69162,1.9335,1.68427,0.11202,0.27407,0.05578,0.03013,1.80484,4.18312,2.25412,0.00129951,0.00129951,0.00129951
3,58.9052,1.80685,2.18401,1.82987,0.303,0.1037,0.07657,0.04374,3.22775,9.43186,3.87661,0.00191352,0.00191352,0.00191352
4,78.3156,1.79538,2.10949,1.8202,0.47388,0.54074,0.49157,0.24402,1.8323,2.85116,2.19138,0.0018812,0.0018812,0.0018812
5,97.9093,1.82164,1.74688,1.80159,0.63146,0.74815,0.76703,0.37625,1.56549,1.78115,1.843,0.0018416,0.0018416,0.0018416
6,117.533,1.73384,1.73797,1.73997,0.6538,0.78519,0.8043,0.38431,1.6696,1.30165,1.8515,0.001802,0.001802,0.001802
7,137.78,1.70889,1.51251,1.7199,0.73953,0.8,0.83685,0.42763,1.61954,1.26973,1.83216,0.0017624,0.0017624,0.0017624
8,157.442,1.68367,1.49138,1.70493,0.75121,0.82963,0.85206,0.45407,1.48307,1.25596,1.7043,0.0017228,0.0017228,0.0017228
9,177.47,1.61132,1.37549,1.64355,0.71965,0.83664,0.85751,0.45525,1.56705,1.14606,1.76691,0.0016832,0.0016832,0.0016832
10,197.567,1.6879,1.50392,1.66846,0.50664,0.86667,0.72777,0.37194,1.61488,2.08189,1.77399,0.0016436,0.0016436,0.0016436
11,217.614,1.68206,1.42839,1.67358,0.67119,0.81653,0.81008,0.42296,1.56585,1.41707,1.77991,0.001604,0.001604,0.001604
12,237.846,1.64027,1.3113,1.64207,0.79313,0.82222,0.88639,0.43154,1.72628,1.04106,1.81152,0.0015644,0.0015644,0.0015644
13,258.044,1.63116,1.3745,1.67251,0.73761,0.76296,0.79036,0.39986,1.68676,1.32611,1.81869,0.0015248,0.0015248,0.0015248
14,278.043,1.56645,1.35025,1.66644,0.77051,0.77097,0.85942,0.40555,1.80321,1.02965,1.93338,0.0014852,0.0014852,0.0014852
15,298.322,1.57936,1.36743,1.62869,0.63272,0.82963,0.80384,0.3839,1.74656,1.12962,1.82629,0.0014456,0.0014456,0.0014456
16,318.073,1.56769,1.39488,1.60619,0.70327,0.8963,0.845,0.44294,1.5607,1.13551,1.70925,0.001406,0.001406,0.001406
17,338.007,1.55095,1.36484,1.61803,0.76623,0.78519,0.85529,0.41086,1.77172,1.06185,1.8893,0.0013664,0.0013664,0.0013664
18,358.599,1.58033,1.2929,1.6095,0.74277,0.8342,0.87739,0.42235,1.72429,0.93859,1.80415,0.0013268,0.0013268,0.0013268
19,378.606,1.54756,1.23627,1.57908,0.72122,0.82403,0.84706,0.43612,1.6111,0.97767,1.73035,0.0012872,0.0012872,0.0012872
20,398.272,1.58377,1.28161,1.61414,0.70286,0.89363,0.87251,0.45607,1.64324,1.00045,1.73774,0.0012476,0.0012476,0.0012476
21,418.714,1.576,1.31115,1.60632,0.75625,0.81481,0.87373,0.41627,1.75397,0.98522,1.80536,0.001208,0.001208,0.001208
22,438.632,1.50879,1.24629,1.57963,0.74725,0.79259,0.86811,0.41065,1.79144,1.04448,1.85937,0.0011684,0.0011684,0.0011684
