epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4338,1.49071,2.87156,1.49193,0.02947,0.68468,0.02913,0.01694,1.40867,19.629,1.66053,0.00026672,0.00026672,0.00026672
2,17.0041,1.2292,1.14478,1.33469,0.00844,0.54054,0.00746,0.00451,1.31293,7.56315,1.6087,0.000546479,0.000546479,0.000546479
3,23.4198,1.24541,1.11859,1.31971,0.94272,0.90991,0.96882,0.5727,1.30999,1.69369,1.61243,0.000822498,0.000822498,0.000822498
4,29.9781,1.19248,0.90821,1.2339,0.93287,0.82883,0.90502,0.56607,1.33578,2.08563,1.58377,0.00109478,0.00109478,0.00109478
5,36.9481,1.29989,0.9312,1.31854,0.75435,0.53153,0.58162,0.34671,1.46084,1.88686,1.66684,0.00136331,0.00136331,0.00136331
6,43.2851,1.28652,0.88794,1.29674,0.84815,0.85586,0.91934,0.60818,1.22206,2.57481,1.52614,0.00161199,0.00161199,0.00161199
7,49.7754,1.26694,0.84787,1.286,0.1029,0.76577,0.10649,0.06514,1.26781,7.36375,1.6193,0.00160099,0.00160099,0.00160099
8,56.2713,1.24085,0.80188,1.27117,0.21773,0.68468,0.20159,0.11537,1.28767,3.05325,1.60121,0.00158998,0.00158998,0.00158998
9,62.8843,1.26882,0.8295,1.26609,0.95252,0.90378,0.97237,0.61524,1.22247,1.27948,1.55714,0.00157898,0.00157898,0.00157898
10,70.5835,1.23838,0.82515,1.24751,0.86111,0.87387,0.91349,0.59637,1.28718,1.16824,1.58193,0.00156798,0.00156798,0.00156798
11,77.7377,1.18924,0.74475,1.24647,0.55077,0.65766,0.43213,0.2721,1.43071,1.65089,1.64011,0.00155698,0.00155698,0.00155698
12,84.2493,1.2241,0.72763,1.25672,0.84984,0.92793,0.92633,0.55719,1.33067,0.81892,1.55916,0.00154598,0.00154598,0.00154598
13,90.8591,1.20531,0.7531,1.28297,0.81846,0.85296,0.90377,0.53509,1.37766,1.09307,1.60713,0.00153497,0.00153497,0.00153497
14,100.814,1.21056,0.67806,1.26857,0.90625,0.87387,0.95591,0.61611,1.26122,0.7947,1.49418,0.00152397,0.00152397,0.00152397
15,108.592,1.23476,0.72251,1.25999,0.89782,0.94988,0.97927,0.66534,1.21789,0.73537,1.46661,0.00151297,0.00151297,0.00151297
16,116.912,1.15384,0.66481,1.22703,0.88459,0.9009,0.92661,0.60192,1.28422,0.74449,1.45118,0.00150197,0.00150197,0.00150197
17,123.585,1.17114,0.72453,1.22097,0.91906,0.90991,0.96496,0.58281,1.38254,0.74456,1.64609,0.00149096,0.00149096,0.00149096
18,130.461,1.17572,0.68175,1.2287,0.93383,0.94595,0.97785,0.64866,1.2664,0.69092,1.45512,0.00147996,0.00147996,0.00147996
19,137.104,1.13547,0.65245,1.22219,0.88753,0.96396,0.96144,0.61756,1.24462,0.63476,1.47255,0.00146896,0.00146896,0.00146896
20,143.754,1.1324,0.63682,1.21421,0.95757,0.94595,0.97917,0.6457,1.2373,0.5659,1.46798,0.00145796,0.00145796,0.00145796
21,166.169,1.10271,0.64461,1.18371,0.94602,0.94739,0.97064,0.62858,1.27588,0.61541,1.4779,0.00144696,0.00144696,0.00144696
22,270.294,1.15334,0.65612,1.24037,0.96871,0.83676,0.88709,0.5897,1.21616,1.01564,1.44891,0.00143595,0.00143595,0.00143595
23,286.282,1.16299,0.67122,1.2061,0.93376,0.94595,0.97616,0.66651,1.20329,0.71566,1.39625,0.00142495,0.00142495,0.00142495
24,518.839,1.1694,0.64319,1.24347,0.9471,0.91892,0.97779,0.67142,1.1788,0.57945,1.40162,0.00141395,0.00141395,0.00141395
25,525.588,1.10604,0.61824,1.21209,0.85869,0.93064,0.95835,0.62176,1.25885,0.66262,1.47378,0.00140295,0.00140295,0.00140295
26,532.608,1.12934,0.65754,1.20656,0.96323,0.94395,0.98183,0.66165,1.21467,0.57502,1.43023,0.00139195,0.00139195,0.00139195
27,539.387,1.12649,0.60433,1.19021,0.96271,0.93694,0.97787,0.63257,1.24521,0.58637,1.52619,0.00138094,0.00138094,0.00138094
28,546.112,1.15354,0.65789,1.25293,0.93719,0.94094,0.97874,0.67035,1.16739,0.55579,1.43469,0.00136994,0.00136994,0.00136994
29,552.776,1.1375,0.6355,1.21291,0.97138,0.91727,0.97233,0.65048,1.18416,0.58839,1.4332,0.00135894,0.00135894,0.00135894
30,560.374,1.10253,0.60316,1.17304,0.96031,0.93694,0.97067,0.62078,1.22766,0.68908,1.46246,0.00134794,0.00134794,0.00134794
31,567.003,1.11688,0.61836,1.19746,0.93525,0.91093,0.96621,0.60532,1.27553,0.68268,1.534,0.00133693,0.00133693,0.00133693
32,573.589,1.14793,0.65593,1.22871,0.95041,0.92793,0.96367,0.65634,1.16973,0.58015,1.37672,0.00132593,0.00132593,0.00132593
33,579.984,1.05482,0.58024,1.14089,0.95699,0.94595,0.97622,0.63299,1.21252,0.55553,1.41751,0.00131493,0.00131493,0.00131493
34,586.549,1.08864,0.58468,1.16169,0.96436,0.96396,0.98344,0.66552,1.18626,0.54161,1.38549,0.00130393,0.00130393,0.00130393
35,593.9,1.08104,0.56319,1.17057,0.94951,0.98198,0.9837,0.68574,1.17232,0.49683,1.39252,0.00129293,0.00129293,0.00129293
36,600.63,1.05889,0.54747,1.17351,0.97069,0.97297,0.98385,0.69193,1.17284,0.49472,1.40187,0.00128192,0.00128192,0.00128192
37,607.259,1.03181,0.55872,1.1854,0.97045,0.98198,0.98816,0.66542,1.18381,0.54848,1.41094,0.00127092,0.00127092,0.00127092
38,613.986,1.08396,0.57431,1.1863,0.93121,0.93694,0.97543,0.65406,1.20925,0.55403,1.45894,0.00125992,0.00125992,0.00125992
39,620.92,1.03018,0.55267,1.16483,0.91423,0.90991,0.96603,0.64452,1.19136,0.5812,1.4565,0.00124892,0.00124892,0.00124892
40,628.571,1.07617,0.55106,1.17367,0.9206,0.97297,0.96707,0.63153,1.2169,0.54752,1.45769,0.00123791,0.00123791,0.00123791
41,635.258,1.07825,0.56525,1.18122,0.94538,0.93566,0.97509,0.65271,1.19542,0.52577,1.45845,0.00122691,0.00122691,0.00122691
42,642.033,1.03068,0.54531,1.15649,0.95393,0.93277,0.98454,0.65952,1.20147,0.52202,1.42845,0.00121591,0.00121591,0.00121591
43,649.02,1.02402,0.54852,1.16116,0.9707,0.89537,0.97388,0.64141,1.22294,0.54738,1.45117,0.00120491,0.00120491,0.00120491
44,658.81,1.0436,0.55523,1.15007,0.94814,0.96396,0.9871,0.66995,1.14982,0.50555,1.38382,0.00119391,0.00119391,0.00119391
45,665.677,1.05435,0.56229,1.15296,0.95583,0.97482,0.97718,0.64189,1.1797,0.50713,1.45617,0.0011829,0.0011829,0.0011829
46,672.664,1.05223,0.56846,1.16731,0.9381,0.9558,0.96698,0.64479,1.18875,0.5065,1.43738,0.0011719,0.0011719,0.0011719
47,680.324,1.04029,0.53664,1.16498,0.93856,0.96328,0.96267,0.66522,1.15732,0.51882,1.39508,0.0011609,0.0011609,0.0011609
48,692.635,0.99639,0.49624,1.13335,0.93276,0.91892,0.96478,0.6589,1.18525,0.57316,1.41527,0.0011499,0.0011499,0.0011499
49,700.149,0.98194,0.52148,1.12334,0.93961,0.90991,0.96016,0.66395,1.18759,0.58213,1.42334,0.00113889,0.00113889,0.00113889
50,710.02,1.02521,0.53068,1.15735,0.92952,0.95059,0.96976,0.67059,1.15804,0.53781,1.40576,0.00112789,0.00112789,0.00112789
51,720.627,0.98662,0.54173,1.13604,0.95451,0.9009,0.9577,0.65576,1.13469,0.5489,1.39729,0.00111689,0.00111689,0.00111689
52,729.96,0.99169,0.50486,1.14117,0.94088,0.92793,0.97821,0.65828,1.22088,0.50813,1.45754,0.00110589,0.00110589,0.00110589
53,736.826,0.99287,0.51074,1.13246,0.92461,0.93694,0.97922,0.66896,1.16046,0.52284,1.38984,0.00109489,0.00109489,0.00109489
54,744.331,0.97624,0.51947,1.11652,0.96193,0.91043,0.97987,0.62453,1.27194,0.55824,1.51845,0.00108388,0.00108388,0.00108388
55,751.816,0.95541,0.48046,1.12046,0.92693,0.95495,0.97554,0.64354,1.20833,0.52483,1.41608,0.00107288,0.00107288,0.00107288
56,760.145,0.98358,0.48003,1.12294,0.95304,0.93694,0.97373,0.65745,1.17975,0.50106,1.41001,0.00106188,0.00106188,0.00106188
