epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1479,1.06276,0.79457,1.14576,0.66268,0.81432,0.78904,0.52629,1.19378,0.98319,1.32026,0.000465508,0.000465508,0.000465508
2,46.4388,1.08463,0.83503,1.15762,0.73556,0.68281,0.77849,0.50472,1.24584,1.02132,1.382,0.00089522,0.00089522,0.00089522
3,58.674,1.12567,0.8646,1.18399,0.68557,0.76164,0.77551,0.51025,1.25037,0.97213,1.30183,0.00127777,0.00127777,0.00127777
4,69.5595,1.11861,0.85734,1.161,0.644,0.82923,0.76869,0.50423,1.23467,0.97104,1.34164,0.00121679,0.00121679,0.00121679
5,80.8217,1.09957,0.85917,1.16954,0.57534,0.82295,0.75951,0.50346,1.22269,0.99891,1.35156,0.00114606,0.00114606,0.00114606
6,92.8876,1.09606,0.84361,1.17511,0.70256,0.75242,0.75631,0.50102,1.24424,1.05881,1.36608,0.00107532,0.00107532,0.00107532
7,104.233,1.09172,0.82363,1.16536,0.67458,0.73772,0.74457,0.489,1.24464,0.97922,1.37459,0.00100459,0.00100459,0.00100459
8,115.475,1.10079,0.84422,1.17795,0.64101,0.81772,0.77469,0.51055,1.23,1.01812,1.35414,0.000933851,0.000933851,0.000933851
9,127.278,1.10582,0.82932,1.17706,0.6853,0.79591,0.79384,0.5138,1.25351,1.07387,1.39039,0.000863116,0.000863116,0.000863116
10,138.466,1.08842,0.80643,1.17832,0.68166,0.77977,0.78529,0.52378,1.21404,0.91858,1.33267,0.00079238,0.00079238,0.00079238
11,151.994,1.07372,0.75307,1.19547,0.67541,0.82186,0.75344,0.50381,1.21613,1.03577,1.34885,0.000721645,0.000721645,0.000721645
12,163.277,1.06285,0.7605,1.19579,0.67894,0.82209,0.7934,0.53246,1.18559,1.15371,1.32165,0.000650909,0.000650909,0.000650909
13,175.324,1.03737,0.71659,1.17945,0.64633,0.78438,0.76684,0.50639,1.22847,0.91857,1.35796,0.000580174,0.000580174,0.000580174
14,188.054,1.03901,0.7131,1.18881,0.70091,0.77786,0.79851,0.54021,1.20467,0.91152,1.33169,0.000509438,0.000509438,0.000509438
15,199.889,1.02438,0.6912,1.16022,0.64383,0.83092,0.7823,0.53048,1.21067,0.98885,1.31666,0.000438703,0.000438703,0.000438703
16,211.949,1.01474,0.64596,1.16785,0.63691,0.86737,0.79587,0.54063,1.20752,0.92093,1.32928,0.000367967,0.000367967,0.000367967
17,224.598,0.99262,0.63691,1.14861,0.70838,0.79219,0.81565,0.55166,1.19387,0.86858,1.32174,0.000297232,0.000297232,0.000297232
18,237.009,0.97169,0.59377,1.13796,0.72645,0.78904,0.81986,0.56108,1.1932,0.8542,1.32947,0.000226497,0.000226497,0.000226497
19,250.086,0.96447,0.58513,1.13147,0.71454,0.77737,0.79945,0.53517,1.21353,0.89701,1.35304,0.000155761,0.000155761,0.000155761
20,261.956,0.95442,0.56405,1.12993,0.71317,0.75651,0.791,0.53825,1.19907,0.8979,1.33572,8.50255e-05,8.50255e-05,8.50255e-05
