run_id,date,experiment_name,model_type,model_architecture,model_size,pretrained,dataset_name,dataset_size,num_classes,batch_size,image_size,epochs_planned,epochs_completed,learning_rate,optimizer,weight_decay,train_accuracy,val_accuracy,test_accuracy,train_loss,val_loss,test_loss,precision,recall,f1_score,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,training_time_minutes,early_stopped,best_epoch,gpu_name,gpu_memory_peak_gb,status,teacher_model,distillation_temperature,distillation_alpha
run_20251125_150400_manual_baseline,2025-11-25 15:04:00,Baseline_YOLOv8n,,YOLOv8,n,True,straw-detect.v1-straw-detect.yolov8,392,1,8,416,50,50,0.002,AdamW,0.0005,,0.937,,0.6679999999999999,0.42599999999999993,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.3,False,50,NVIDIA GeForce RTX 3050 Ti Laptop GPU,1.44,completed,,,
run_20251202_210737_yolov8s_enhanced,2025-12-02 15:04:43,yolov8s_enhanced,teacher,YOLOv8,s,True,straw-detect.v1-straw-detect.yolov8,392,1,16,640,100,100,0.002,AdamW,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,False,100,NVIDIA GeForce RTX 3050 Ti Laptop GPU,2.0,completed,,1.0,0.5
run_20251202_210739_yolov8n,2025-12-02 15:04:44,yolov8n,teacher,YOLOv8,n,True,straw-detect.v1-straw-detect.yolov8,392,1,16,640,100,100,0.002,AdamW,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,False,100,NVIDIA GeForce RTX 3050 Ti Laptop GPU,1.0,completed,,1.0,0.5
run_20251202_210740_baseline,2025-12-02 15:04:44,baseline,teacher,YOLOv8,n,True,straw-detect.v1-straw-detect.yolov8,392,1,16,640,100,100,0.002,AdamW,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,False,100,NVIDIA GeForce RTX 3050 Ti Laptop GPU,1.0,completed,,1.0,0.5
run_20251202_210741_yolov8s_improved_detection_v2_20251202_153433,2025-12-02 15:04:43,yolov8s_improved_detection_v2_20251202_153433,teacher,YOLOv8,s,True,straw-detect.v1-straw-detect.yolov8,392,1,16,640,100,100,0.002,AdamW,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,False,100,NVIDIA GeForce RTX 3050 Ti Laptop GPU,2.0,completed,,1.0,0.5
kaggle_yolov8n_20251125_150400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,1.0,published,,,
kaggle_strawberry_yolov8n_20251204_115538,,kaggle_strawberry_yolov8n_20251204_115538,,YOLOv8,n,,strawberry_kaggle,,1,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,50,,1.0,completed,,,
kaggle_strawberry_yolov8s_20251204_2105262,,kaggle_strawberry_yolov8s_20251204_2105262,,YOLOv8,s,,strawberry_kaggle,,1,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,150,,2.0,completed,,,
optimized_yolov8n_20251204_154529,,optimized_yolov8n_20251204_154529,,YOLOv8,n,,strawberry_kaggle,,1,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,100,,1.0,completed,,,
run_20251211_213315,2025-12-11 21:33:15,YOLOv11_strawberry_detection,detection,YOLOv11,n,True,strawberry_kaggle_2500,2500,1,4,320,1,1,0.002,AdamW,0.0005,,,,0.0,0.0,,0.0030245746691871457,0.1095890410958904,0.005886681383370125,0.0030245746691871457,0.1095890410958904,0.005886681383370125,0.0030245746691871457,0.1095890410958904,0.005886681383370125,3.1552401185035706,False,1,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0.24992609024047852,completed,,,
