epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1996,1.6964,2.87025,1.12184,0.01063,0.94408,0.01928,0.00917,1.48737,3.35284,1.02426,0.00036,0.00036,0.00036
2,47.15,1.50703,1.34142,1.07378,0.01026,0.91118,0.03516,0.02033,1.51132,3.29625,1.0489,0.000725348,0.000725348,0.000725348
3,53.8859,1.54096,1.19219,1.06308,0.17884,0.84211,0.67478,0.32483,1.5492,2.7326,1.09365,0.00107565,0.00107565,0.00107565
4,59.2172,1.43966,1.10307,1.03622,0.95019,0.251,0.68177,0.34134,1.52281,2.743,1.0894,0.0014109,0.0014109,0.0014109
5,64.4673,1.48872,1.15708,1.04379,0.88896,0.74013,0.84177,0.45965,1.55134,1.87322,1.13854,0.0017311,0.0017311,0.0017311
6,69.8452,1.47133,1.05013,1.01771,0.88199,0.7867,0.87487,0.50457,1.53139,1.27854,1.14209,0.001802,0.001802,0.001802
7,75.2714,1.45138,0.98832,1.04207,0.87888,0.81579,0.88356,0.49621,1.5229,1.2372,1.14621,0.0017624,0.0017624,0.0017624
8,80.5473,1.4004,0.94983,1.03455,0.83364,0.86513,0.90987,0.52814,1.46444,0.93863,1.15305,0.0017228,0.0017228,0.0017228
9,85.9299,1.38958,0.91927,1.03007,0.88051,0.85526,0.91436,0.53118,1.46028,0.89331,1.14634,0.0016832,0.0016832,0.0016832
10,91.5283,1.39438,0.90244,1.04315,0.83581,0.85526,0.90457,0.5013,1.50131,0.91657,1.15458,0.0016436,0.0016436,0.0016436
11,96.7774,1.41302,0.88889,1.03023,0.87997,0.84405,0.91429,0.54947,1.40035,0.90196,1.10186,0.001604,0.001604,0.001604
12,102.157,1.36904,0.88874,1.03057,0.86734,0.85526,0.92002,0.55579,1.37803,0.8841,1.10274,0.0015644,0.0015644,0.0015644
13,108.795,1.3437,0.83237,1.0067,0.83052,0.83882,0.89079,0.51286,1.45828,0.94252,1.11793,0.0015248,0.0015248,0.0015248
14,115.768,1.36961,0.82026,1.02113,0.87374,0.79605,0.86119,0.46727,1.57922,0.89862,1.21511,0.0014852,0.0014852,0.0014852
15,122.897,1.39192,0.81167,1.0212,0.88812,0.80945,0.91679,0.54299,1.40277,0.82097,1.12058,0.0014456,0.0014456,0.0014456
16,129.622,1.35533,0.81046,1.03065,0.93459,0.79896,0.92781,0.56195,1.36969,0.807,1.09204,0.001406,0.001406,0.001406
17,136.343,1.32952,0.77285,0.98716,0.88429,0.82962,0.91174,0.54655,1.38512,0.84223,1.11523,0.0013664,0.0013664,0.0013664
18,142.636,1.31083,0.76504,1.00764,0.90225,0.85855,0.92913,0.56104,1.4032,0.82392,1.10927,0.0013268,0.0013268,0.0013268
19,149.734,1.30544,0.75268,0.99882,0.88841,0.83802,0.93797,0.58527,1.3525,0.73949,1.07829,0.0012872,0.0012872,0.0012872
20,157.174,1.31899,0.7408,0.98756,0.86232,0.85197,0.9245,0.56372,1.39775,0.73928,1.10179,0.0012476,0.0012476,0.0012476
21,164.42,1.30083,0.73837,1.00637,0.89995,0.85855,0.94124,0.57041,1.40462,0.76437,1.10144,0.001208,0.001208,0.001208
