epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.31874,1.32115,2.72359,1.31365,0.0042,0.96396,0.34849,0.15119,1.72013,3.19145,1.6125,0.08416,0.00016,0.00016
2,11.8382,1.29147,1.25454,1.19045,0.79518,0.59459,0.72948,0.50195,1.36608,3.55651,1.26511,0.0673267,0.000326733,0.000326733
3,16.0525,1.22575,0.99947,1.18729,0.87736,0.83784,0.88217,0.5843,1.31812,3.22937,1.19611,0.0504901,0.0004901,0.0004901
4,20.0149,1.23607,0.97136,1.19132,0.96827,0.54976,0.91805,0.63652,1.23102,2.28521,1.18473,0.0336501,0.000650101,0.000650101
5,24.4059,1.25364,0.94402,1.17494,0.89731,0.94595,0.95708,0.61965,1.17717,0.93729,1.19675,0.0168067,0.000806736,0.000806736
6,28.3852,1.22004,0.89564,1.20543,0.93617,0.92488,0.97204,0.66579,1.12422,0.8137,1.26263,0.0009505,0.0009505,0.0009505
7,32.3214,1.22106,0.85602,1.20673,0.91359,0.89189,0.95236,0.64874,1.17354,1.02353,1.2976,0.0009406,0.0009406,0.0009406
8,36.7398,1.17989,0.8149,1.22857,0.93498,0.90691,0.97052,0.62923,1.1622,0.74347,1.3491,0.0009307,0.0009307,0.0009307
9,41.4174,1.19826,0.78583,1.24595,0.92006,0.93321,0.95326,0.62782,1.20513,0.78791,1.35934,0.0009208,0.0009208,0.0009208
10,46.0037,1.16988,0.78687,1.22168,0.95298,0.91307,0.97735,0.6558,1.16671,0.69648,1.33138,0.0009109,0.0009109,0.0009109
11,50.2642,1.13574,0.75487,1.17816,0.94175,0.89189,0.97026,0.63667,1.15661,0.69735,1.34809,0.000901,0.000901,0.000901
12,54.7744,1.16935,0.74159,1.21644,0.94252,0.93694,0.979,0.62096,1.24121,0.68272,1.4099,0.0008911,0.0008911,0.0008911
13,59.0565,1.12397,0.72209,1.17372,0.9223,0.96241,0.97214,0.64472,1.17994,0.66612,1.37654,0.0008812,0.0008812,0.0008812
