epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.99022,2.43777,5.28452,1.40683,0,0,0,0,3.24467,48.0118,1.46849,0.0892,0.0012,0.0012
2,8.45723,2.58601,4.2371,1.44629,0.00219,0.05479,0.00144,0.00038,nan,nan,nan,0.0774997,0.00249973,0.00249973
3,11.6871,2.35473,2.52,1.35946,0,0,0,0,nan,nan,nan,0.0657984,0.00379835,0.00379835
4,15.2181,2.25941,2.03092,1.30597,0,0,0,0,nan,nan,nan,0.054095,0.00509502,0.00509502
5,18.8884,2.24055,1.88851,1.31068,0.00033,0.0137,0.00017,2e-05,nan,nan,nan,0.0423889,0.00638889,0.00638889
6,22.2085,2.22444,1.82197,1.32027,0,0,0,0,nan,nan,nan,0.0306791,0.00767912,0.00767912
7,25.6347,2.28654,1.79028,1.34332,0,0,0,0,nan,nan,nan,0.0189649,0.00896487,0.00896487
8,28.8164,2.1807,1.68383,1.30813,0,0,0,0,nan,nan,nan,0.0099469,0.0099469,0.0099469
9,31.9825,2.14127,1.66544,1.30171,0.00674,0.05479,0.00288,0.001,nan,nan,nan,0.00993068,0.00993068,0.00993068
10,35.3772,2.073,1.68302,1.26474,0.33907,0.13699,0.19932,0.07397,nan,nan,nan,0.00991232,0.00991232,0.00991232
11,38.6996,2.03959,1.58433,1.25883,0.35474,0.26027,0.22051,0.10101,nan,nan,nan,0.00989183,0.00989183,0.00989183
12,42.3973,2.01926,1.59961,1.20848,0.38017,0.49315,0.38086,0.1456,nan,nan,nan,0.00986922,0.00986922,0.00986922
13,45.9472,1.95509,1.50623,1.17968,0.02913,0.61644,0.02803,0.0118,2.19782,nan,1.36349,0.00984449,0.00984449,0.00984449
14,49.342,1.99143,1.51994,1.1934,0.05869,0.49315,0.04834,0.01986,2.02986,20.4662,1.27517,0.00981765,0.00981765,0.00981765
15,52.5419,1.86784,1.4853,1.165,0.47699,0.57534,0.46898,0.20402,1.96378,5.55944,1.26635,0.00978873,0.00978873,0.00978873
16,55.5791,1.97152,1.4406,1.17661,0.03325,0.61644,0.0269,0.01178,2.00593,158.867,1.28072,0.00975773,0.00975773,0.00975773
17,58.6223,1.90234,1.45,1.18589,0.01377,0.38356,0.00961,0.00399,2.49134,inf,1.51727,0.00972466,0.00972466,0.00972466
18,61.9021,1.87889,1.46576,1.18007,0.03225,0.45205,0.02417,0.01075,2.2414,30.2087,1.39397,0.00968955,0.00968955,0.00968955
19,64.7497,1.85549,1.39973,1.13693,0.47128,0.42466,0.41074,0.2023,1.91011,2.51253,1.21504,0.00965239,0.00965239,0.00965239
20,67.5257,1.87798,1.51714,1.13651,0.44048,0.50685,0.4181,0.17202,1.99599,1.78722,1.24645,0.00961322,0.00961322,0.00961322
21,70.2765,1.82765,1.43017,1.15783,0.49822,0.46575,0.47123,0.17553,2.03418,2.16157,1.26633,0.00957205,0.00957205,0.00957205
22,73.5817,1.81648,1.3771,1.13448,0.45794,0.50685,0.49487,0.25304,1.91981,1.67476,1.19082,0.00952889,0.00952889,0.00952889
23,76.769,1.85271,1.31869,1.12464,0.40552,0.42988,0.37568,0.18874,1.93454,1.96615,1.16101,0.00948377,0.00948377,0.00948377
24,79.6809,1.90438,1.46277,1.1776,0.45569,0.40144,0.42369,0.20015,2.02814,2.18501,1.20611,0.00943671,0.00943671,0.00943671
25,82.8838,1.88903,1.43644,1.21576,0.52559,0.42494,0.47386,0.21428,1.96926,1.88734,1.217,0.00938772,0.00938772,0.00938772
26,85.9043,1.79692,1.35119,1.13165,0.4126,0.49315,0.42183,0.19279,1.90507,2.12175,1.15859,0.00933683,0.00933683,0.00933683
27,89.1703,1.7843,1.38907,1.13129,0.52228,0.47924,0.45401,0.20113,1.90243,2.68959,1.2143,0.00928405,0.00928405,0.00928405
28,92.247,1.76852,1.3812,1.11506,0.43201,0.47945,0.4145,0.20375,1.93299,2.33939,1.22109,0.00922942,0.00922942,0.00922942
29,95.7731,1.82689,1.34336,1.14424,0.47893,0.47945,0.44337,0.22429,1.86569,2.05157,1.1787,0.00917296,0.00917296,0.00917296
30,99.4228,1.75803,1.34466,1.17679,0.32174,0.50685,0.36852,0.17529,1.95421,1.81171,1.20413,0.00911469,0.00911469,0.00911469
31,103.007,1.75328,1.41174,1.13846,0.3956,0.49315,0.38676,0.187,1.85723,1.63195,1.14242,0.00905463,0.00905463,0.00905463
32,106.237,1.70976,1.28432,1.08554,0.48288,0.67123,0.53244,0.2721,1.72041,1.54282,1.13088,0.00899282,0.00899282,0.00899282
33,109.415,1.80088,1.29887,1.11504,0.46904,0.39726,0.45755,0.24331,1.89695,2.17497,1.17401,0.00892928,0.00892928,0.00892928
34,112.614,1.62683,1.20711,1.08,0.43137,0.60274,0.49896,0.26661,1.95796,1.50932,1.20373,0.00886404,0.00886404,0.00886404
35,115.91,1.71998,1.27897,1.1199,0.53569,0.54795,0.57195,0.28135,1.94269,1.55755,1.17541,0.00879713,0.00879713,0.00879713
36,119.14,1.69898,1.22486,1.08885,0.39496,0.50685,0.45197,0.21634,1.97217,1.64811,1.18822,0.00872857,0.00872857,0.00872857
37,122.501,1.74829,1.30566,1.13196,0.45853,0.45205,0.44357,0.22149,1.90845,1.6238,1.16198,0.00865839,0.00865839,0.00865839
38,126.145,1.6854,1.17546,1.09207,0.58273,0.53425,0.58209,0.29143,1.8652,1.348,1.16717,0.00858664,0.00858664,0.00858664
39,129.972,1.65895,1.1618,1.067,0.46052,0.5964,0.46177,0.21183,2.04699,1.96513,1.25441,0.00851333,0.00851333,0.00851333
40,133.27,1.65235,1.19986,1.06532,0.42348,0.56164,0.40622,0.17811,2.23227,2.36556,1.34125,0.00843851,0.00843851,0.00843851
